Intern_ID,Department,Internship_Duration_Weeks,Feedback_Score,Supervisor_Rating,Commute_Distance_km,Monthly_Stipend_XAF,Remote_Work_Option,Returned
INT-00001,Admin,7,9.4,7.3,2.1,150000,No,Yes
INT-00002,Marketing,21,7.4,7.5,3.1,75000,Yes,Yes
INT-00003,Engineering,8,6.1,7.2,16.7,0,No,No
INT-00004,Engineering,19,6.2,7.2,14.7,0,Yes,No
INT-00005,IT,17,6.8,4.8,13.0,25000,No,No
INT-00006,IT,22,8.4,5.6,7.0,75000,No,Yes
INT-00007,IT,17,7.0,5.4,1.7,25000,No,Yes
INT-00008,Finance,12,5.4,9.0,1.6,50000,Yes,No
INT-00009,Engineering,9,6.4,8.3,1.6,100000,No,Yes
INT-00010,Engineering,20,6.5,7.0,15.9,100000,Yes,No
INT-00011,IT,22,8.0,7.0,1.7,50000,No,Yes
INT-00012,Marketing,15,7.4,8.8,13.7,100000,No,Yes
INT-00013,Finance,7,6.2,9.5,15.4,50000,No,No
INT-00014,IT,19,5.1,7.3,1.4,25000,No,No
INT-00015,IT,14,4.1,8.1,19.1,100000,No,No
INT-00016,IT,7,8.0,6.8,18.7,50000,No,No
INT-00017,Admin,20,9.3,7.2,8.6,150000,No,Yes
INT-00018,Engineering,11,8.3,9.7,6.3,25000,No,Yes
INT-00019,Admin,17,4.8,8.7,8.8,50000,Yes,No
INT-00020,IT,5,4.3,6.5,4.7,25000,No,No
INT-00021,Engineering,14,7.0,6.3,7.6,0,No,Yes
INT-00022,IT,14,9.3,8.3,28.4,25000,No,Yes
INT-00023,IT,9,7.3,6.8,1.5,0,No,Yes
INT-00024,Admin,24,5.8,9.2,2.6,25000,No,Yes
INT-00025,Admin,24,9.4,6.6,6.4,0,No,Yes
INT-00026,Finance,17,7.3,8.4,2.9,25000,No,Yes
INT-00027,IT,13,8.1,5.0,39.9,50000,No,Yes
INT-00028,Engineering,11,8.6,9.0,10.7,25000,Yes,Yes
INT-00029,Engineering,10,6.6,7.9,5.1,50000,Yes,No
INT-00030,IT,11,8.0,5.8,19.1,25000,Yes,No
INT-00031,Engineering,11,6.8,7.0,1.7,150000,No,Yes
INT-00032,IT,5,7.4,7.7,3.2,100000,No,No
INT-00033,IT,19,6.1,5.3,25.5,50000,No,No
INT-00034,Marketing,12,4.4,9.0,7.0,150000,No,Yes
INT-00035,Marketing,16,8.8,8.3,20.8,50000,No,No
INT-00036,Finance,15,9.1,7.0,33.7,25000,Yes,Yes
INT-00037,Admin,20,8.6,5.1,4.1,150000,Yes,Yes
INT-00038,IT,5,9.0,9.7,7.4,50000,No,Yes
INT-00039,Engineering,16,5.4,8.6,15.5,0,Yes,Yes
INT-00040,Admin,4,8.4,6.7,3.0,75000,No,Yes
INT-00041,IT,22,8.9,6.4,5.2,25000,No,Yes
INT-00042,Admin,14,7.7,6.4,1.8,75000,Yes,Yes
INT-00043,IT,8,8.2,7.4,9.0,0,No,Yes
INT-00044,Marketing,4,5.8,7.3,0.5,25000,No,Yes
INT-00045,IT,23,5.3,5.9,5.3,50000,Yes,No
INT-00046,Engineering,16,6.1,7.2,21.7,75000,No,Yes
INT-00047,Admin,11,8.1,7.4,18.7,75000,Yes,No
INT-00048,Engineering,9,7.2,6.2,13.5,75000,No,No
INT-00049,Engineering,20,8.2,9.0,1.7,50000,No,Yes
INT-00050,IT,15,7.6,8.7,6.4,50000,No,Yes
INT-00051,Marketing,4,9.4,8.3,10.7,100000,No,Yes
INT-00052,Finance,6,4.2,8.9,1.4,50000,Yes,No
INT-00053,Marketing,17,8.2,5.8,1.8,100000,No,No
INT-00054,Finance,11,8.1,5.8,0.8,50000,Yes,Yes
INT-00055,Engineering,14,7.7,7.2,3.6,100000,No,Yes
INT-00056,Marketing,17,7.0,7.3,17.3,0,Yes,Yes
INT-00057,IT,11,6.3,4.4,6.2,25000,Yes,No
INT-00058,IT,6,6.2,6.2,15.9,100000,No,Yes
INT-00059,IT,10,7.5,6.9,1.2,75000,Yes,Yes
INT-00060,Admin,22,7.8,8.9,1.0,150000,No,Yes
INT-00061,Admin,7,5.7,7.9,13.5,75000,Yes,No
INT-00062,IT,19,6.9,6.1,6.0,150000,No,Yes
INT-00063,Finance,16,7.3,8.1,5.6,150000,No,Yes
INT-00064,Admin,23,9.3,8.7,5.7,150000,No,No
INT-00065,IT,22,4.8,7.9,4.3,75000,Yes,Yes
INT-00066,Engineering,8,8.9,9.0,17.9,100000,Yes,Yes
INT-00067,IT,8,8.1,8.1,6.4,50000,No,Yes
INT-00068,Finance,23,8.8,6.8,29.7,150000,No,Yes
INT-00069,IT,7,6.8,6.0,15.5,25000,No,No
INT-00070,Marketing,5,8.5,8.9,11.2,25000,No,No
INT-00071,Finance,16,9.4,8.6,8.6,50000,No,Yes
INT-00072,IT,19,7.8,6.4,14.9,150000,Yes,Yes
INT-00073,IT,5,5.1,7.6,17.6,75000,No,No
INT-00074,Finance,22,7.4,7.2,1.6,0,No,Yes
INT-00075,Engineering,20,7.1,8.7,4.1,75000,Yes,Yes
INT-00076,Engineering,8,6.8,6.8,13.6,150000,No,Yes
INT-00077,Finance,21,7.1,3.5,2.5,50000,Yes,No
INT-00078,IT,24,7.0,3.9,7.6,50000,No,No
INT-00079,Admin,21,6.9,6.2,12.6,75000,No,No
INT-00080,IT,11,8.8,5.3,2.5,75000,No,Yes
INT-00081,Finance,18,7.9,4.4,4.6,50000,No,No
INT-00082,Engineering,16,8.3,6.4,20.2,0,No,No
INT-00083,Admin,16,6.7,8.9,4.0,50000,No,Yes
INT-00084,IT,19,5.9,6.9,7.9,50000,No,No
INT-00085,Admin,23,5.8,6.3,5.1,50000,No,Yes
INT-00086,Admin,16,7.8,5.2,17.3,75000,Yes,No
INT-00087,Engineering,23,6.4,2.7,4.9,0,Yes,No
INT-00088,Engineering,5,7.7,8.4,4.1,100000,No,Yes
INT-00089,Finance,6,5.8,7.8,2.0,75000,No,Yes
INT-00090,Admin,18,8.5,8.2,3.9,50000,Yes,Yes
INT-00091,IT,22,10.0,8.9,9.4,25000,No,Yes
INT-00092,Engineering,16,6.1,6.1,2.0,25000,Yes,Yes
INT-00093,Finance,8,6.1,2.5,10.3,75000,No,No
INT-00094,Engineering,9,8.2,7.9,0.6,75000,No,Yes
INT-00095,Finance,17,8.6,8.3,4.2,100000,No,Yes
INT-00096,Admin,7,5.4,8.4,5.5,75000,Yes,Yes
INT-00097,Engineering,22,6.1,8.5,1.3,50000,Yes,Yes
INT-00098,Admin,10,6.4,8.1,9.7,25000,Yes,Yes
INT-00099,IT,7,7.7,7.4,1.4,75000,Yes,Yes
INT-00100,IT,5,4.9,8.2,1.3,50000,No,Yes
INT-00101,IT,10,6.7,6.5,4.2,100000,No,Yes
INT-00102,Engineering,6,8.5,4.8,11.2,50000,Yes,Yes
INT-00103,Admin,18,4.3,8.9,27.0,25000,No,No
INT-00104,Engineering,4,8.8,7.9,12.5,100000,Yes,Yes
INT-00105,Marketing,5,4.3,4.0,5.5,150000,No,No
INT-00106,IT,13,6.8,4.5,3.0,25000,No,Yes
INT-00107,Admin,19,7.5,5.6,3.4,75000,Yes,No
INT-00108,Finance,18,6.8,5.4,3.2,100000,No,No
INT-00109,IT,18,7.6,5.9,3.1,100000,No,Yes
INT-00110,IT,17,5.8,7.7,1.1,75000,Yes,Yes
INT-00111,IT,17,8.7,8.8,2.5,50000,No,Yes
INT-00112,IT,9,5.8,6.6,1.4,0,No,Yes
INT-00113,Marketing,17,6.1,2.0,0.6,75000,No,Yes
INT-00114,Finance,20,6.5,4.7,3.2,25000,Yes,Yes
INT-00115,Engineering,21,9.2,8.5,4.0,100000,No,Yes
INT-00116,Finance,23,7.3,9.1,21.5,100000,No,Yes
INT-00117,Finance,22,7.5,7.6,42.6,150000,No,Yes
INT-00118,IT,20,7.3,6.8,7.4,50000,Yes,Yes
INT-00119,Finance,19,8.2,5.5,19.0,50000,No,No
INT-00120,Engineering,11,7.1,5.9,8.2,50000,Yes,No
INT-00121,Finance,10,7.5,4.8,6.0,0,No,Yes
INT-00122,Finance,23,5.4,7.6,0.8,75000,No,No
INT-00123,Admin,15,7.9,8.5,0.9,150000,No,Yes
INT-00124,IT,12,7.9,9.2,0.8,50000,No,Yes
INT-00125,IT,17,6.3,5.4,1.8,25000,Yes,Yes
INT-00126,Admin,23,8.9,8.9,1.1,75000,Yes,Yes
INT-00127,Finance,4,8.5,6.8,2.2,75000,Yes,Yes
INT-00128,Finance,13,3.9,6.4,6.4,75000,No,No
INT-00129,IT,20,8.6,7.0,6.1,150000,Yes,Yes
INT-00130,Engineering,20,7.7,7.6,3.9,25000,Yes,Yes
INT-00131,Admin,20,7.6,8.4,9.3,100000,No,Yes
INT-00132,IT,7,6.8,6.0,4.5,0,No,Yes
INT-00133,IT,20,7.1,4.8,2.5,75000,No,Yes
INT-00134,Admin,21,3.3,7.4,9.9,100000,No,No
INT-00135,Marketing,23,6.3,5.7,31.9,50000,Yes,No
INT-00136,Admin,5,8.2,1.8,13.8,75000,No,No
INT-00137,Engineering,11,8.9,7.4,4.8,25000,No,Yes
INT-00138,Engineering,16,7.8,6.9,4.3,0,No,Yes
INT-00139,Admin,23,6.6,5.8,0.8,25000,No,No
INT-00140,Marketing,18,5.4,4.4,9.1,25000,Yes,No
INT-00141,Marketing,23,7.9,5.2,2.5,100000,No,Yes
INT-00142,IT,12,8.3,3.8,9.7,25000,No,Yes
INT-00143,Admin,6,7.1,8.8,11.9,75000,No,Yes
INT-00144,Admin,6,6.8,4.8,17.4,100000,No,No
INT-00145,IT,5,8.6,8.8,6.9,150000,No,Yes
INT-00146,IT,4,7.8,7.9,14.7,100000,No,No
INT-00147,Engineering,17,8.4,9.5,10.8,100000,Yes,Yes
INT-00148,Engineering,20,8.6,6.0,4.0,50000,Yes,Yes
INT-00149,IT,16,7.6,7.3,1.4,25000,Yes,Yes
INT-00150,IT,22,8.3,8.6,2.7,50000,Yes,Yes
INT-00151,Marketing,18,7.8,6.7,15.4,75000,No,No
INT-00152,IT,17,6.3,5.0,6.6,50000,No,No
INT-00153,IT,5,4.1,4.5,9.3,0,Yes,No
INT-00154,Admin,10,8.9,7.2,13.6,50000,Yes,Yes
INT-00155,Marketing,20,8.8,8.5,9.3,0,No,Yes
INT-00156,IT,21,8.2,7.4,16.0,100000,No,Yes
INT-00157,Engineering,9,4.8,7.5,1.2,25000,No,No
INT-00158,Finance,24,8.7,7.4,19.2,150000,Yes,Yes
INT-00159,IT,11,6.0,8.5,13.9,50000,Yes,Yes
INT-00160,Engineering,5,7.2,6.0,19.2,75000,No,No
INT-00161,Admin,4,5.8,4.2,11.0,50000,Yes,No
INT-00162,Engineering,19,5.8,8.9,3.1,75000,No,Yes
INT-00163,Engineering,10,8.1,6.9,1.5,25000,No,Yes
INT-00164,Engineering,14,5.2,6.7,1.6,100000,No,Yes
INT-00165,IT,18,8.6,6.7,6.0,50000,No,Yes
INT-00166,Finance,16,5.1,6.5,4.5,75000,Yes,Yes
INT-00167,Admin,5,7.5,8.5,9.0,75000,No,Yes
